PUBID,SQFT,LnAreaT,ADJWT,SiteEUI,SourceEUI,WKHRS,NWKER,PCNUM,PcDensT,Bank50,HDD,HEATP,CDD,COOLP,WiFridge,OpFridge,ClFridge,ReFridge,VnFridge,NFLOORS
359,40000,10.597,364.88,217.59875,481.8254255,40,122,110,2.75,1,6238,100,603,75,0,0,0,1,2,4
363,45500,10.725,88.09,14.56268132,42.27456497,64,150,65,1.429,0,1745,100,310,100,0,0,0,0,0,3
368,30000,10.309,377.5,29.8789,99.795526,55,31,19,0.633,0,122,0,5783,90,0,0,0,1,0,3
447,40500,10.609,364.88,114.2451358,381.5787536,38,137,125,3.086,1,4295,100,1495,90,0,5,0,0,1,5
469,28000,10.24,808.04,61.12939286,204.1721721,48,60,70,2.5,0,5228,100,931,100,0,0,0,2,2,1
481,53000,10.878,82.18,187.4654151,293.1511699,45,128,129,2.434,0,5774,100,523,100,0,0,0,0,3,3
491,350000,12.206,15.66,253.2073486,463.1922393,50,500,600,1.714,0,6919,99,587,80,0,0,3,0,6,6
520,70000,11.156,84.11,179.0846143,488.2836714,40,98,98,1.4,0,5802,100,739,100,0,0,0,0,3,2
553,104000,11.552,77.89,87.58416346,292.220387,55,225,300,2.885,0,5406,100,1399,100,0,0,0,5,4,3
558,600000,12.206,28.58,80.71801667,262.3117518,66,1825,1500,2.5,0,4192,100,1157,80,1,0,0,0,10,20
566,108000,11.59,96.84,36.27660185,121.1638502,65,100,13,0.12,0,1104,100,642,100,0,0,0,13,0,6
585,106000,11.571,86.75,58.98813208,140.7195101,168,210,178,1.679,0,6382,100,611,100,0,0,0,0,1,4
599,220000,12.206,5.59,82.10533636,269.9034155,55,750,600,2.727,0,1200,100,3382,100,0,0,0,10,7,12
601,30000,10.309,745.49,58.59376667,193.7320007,60,42,24,0.8,0,262,100,3797,100,0,0,0,0,0,4
606,146000,11.891,124.82,168.0969452,454.6504003,90,380,500,3.425,0,6549,100,562,100,2,0,0,5,4,1
622,500000,12.206,5.27,43.03638,87.07972575,60,400,250,0.5,0,7179,80,776,80,0,0,0,10,5,7
625,900000,12.206,25.66,93.86539,313.3667814,168,2340,2300,2.556,0,6805,100,863,95,0,2,4,30,25,40
637,900000,12.206,51.21,30.45972667,82.89818931,60,1146,700,0.778,0,1656,50,238,50,0,0,0,70,0,20
642,320000,12.206,61.35,134.6779031,347.7445729,55,700,600,1.875,0,3203,100,1713,100,2,3,5,8,15,5
651,168000,12.032,80.65,160.2253452,388.2653931,68,400,179,1.065,0,4943,100,1282,100,4,2,2,0,2,13
674,118000,11.678,96.84,67.16491525,218.9315104,40,283,750,6.356,0,1489,100,597,100,0,0,0,0,2,6
692,9500,9.159,780.38,92.67515789,218.6046746,40,7,12,1.263,0,5616,100,909,100,0,0,0,2,0,3
696,45000,10.714,190.78,158.4537333,354.8081823,60,250,100,2.222,0,1840,80,2359,100,0,0,0,20,10,5
711,55000,10.915,80.53,227.1928545,441.091379,60,106,113,2.055,0,6780,100,452,100,0,0,0,3,3,8
733,73000,11.198,221.72,95.86290411,320.1820997,60,250,200,2.74,0,6316,100,674,100,0,0,0,9,0,5
749,5300,8.575,2226.65,62.70037736,209.4192604,40,12,6,1.132,0,1018,100,3740,100,0,0,0,2,1,1
751,80000,11.29,119.39,91.2516375,117.1461423,50,84,84,1.05,0,6300,100,723,80,0,0,0,6,1,4
761,91000,11.419,82.18,117.1958352,280.0243138,50,500,400,4.396,0,6302,100,543,100,2,1,0,0,0,6
777,17750,9.784,780.38,112.624169,251.6607669,40,74,46,2.592,0,6503,100,884,100,0,0,0,3,1,3
793,120000,11.695,93.85,94.44445833,153.2605244,64,225,225,1.875,0,5662,95,616,80,0,0,0,2,0,10
796,700000,12.206,31.11,49.61997429,165.6060724,61,1000,1000,1.429,0,2487,96,250,96,1,0,0,20,20,6
810,126000,11.744,238.86,251.0293333,675.9419703,60,400,550,4.365,0,5889,100,890,100,0,0,0,0,8,7
814,15250,9.632,780.38,77.15488525,186.7747515,64,45,48,3.148,1,7772,100,300,80,0,0,2,3,1,4
825,265000,12.206,5.32,47.62242642,140.8465397,54,700,750,2.83,0,1488,75,657,75,1,0,0,0,3,6
857,45000,10.714,89.9,39.16793333,130.8208973,40,100,70,1.556,0,1955,100,234,100,0,0,0,2,1,3
875,33000,10.404,444.58,34.0579697,113.7536188,95,65,65,1.97,0,2177,100,246,100,0,0,0,2,3,2
888,420000,12.206,2.36,102.2415524,256.0058364,60,1000,1000,2.381,0,5702,100,801,100,2,4,4,30,20,6
889,6700,8.81,2314.83,57.81134328,138.0098169,48,22,18,2.687,0,3039,100,2017,100,0,0,0,1,0,1
891,114000,11.644,74.65,56.56883333,188.9399033,48,300,300,2.632,0,1551,100,2805,100,0,0,0,54,1,6
892,13750,9.529,706.3,84.67592727,282.8175971,40,31,31,2.255,0,6376,100,857,100,0,0,0,3,2,3
896,40000,10.597,363.08,176.971725,546.2563972,168,124,150,3.75,0,5028,1,1562,100,0,0,0,4,2,1
902,66000,11.097,199.06,72.32577273,241.5680809,55,246,210,3.182,0,6440,100,791,100,0,0,3,5,2,2
937,51000,10.84,148.9,130.657451,249.9160876,60,100,90,1.765,0,7699,100,501,100,0,0,0,10,2,3
939,600000,12.206,6.04,100.9281333,236.8873302,76,1200,1300,2.167,0,3755,75,1316,75,2,1,0,63,6,6
942,110000,11.608,238.86,94.23077273,287.1956656,60,200,200,1.818,0,4762,100,1117,80,0,0,0,6,6,2
969,380000,12.206,73.78,73.15136842,229.6751974,67,200,200,0.526,0,5658,100,918,100,3,1,2,6,10,20
972,450000,12.206,51.21,39.87254,105.3300449,65,886,498,1.107,0,1062,100,1012,100,0,0,0,28,0,40
