BldgID,Area,ADJWT,SourceEUI,UnitDen,CapFactor,LiftDen,WkrDen,PcDen,CFDen,CWDen,RWDen,RWDenT,CDD,HDD,CoolP,HeatP
395,87950,1.1,238.3,1.717,72,0,0.512,0.136,0.034,0.023,0.023,0.023,932,4915,100,100
396,54097,1.1,154.9,1.996,69,0,0.333,0.148,0.092,0,0.074,0.074,696,1118,100,100
397,79723,1.1,213.8,1.957,69,0,0.464,0.125,0.05,0.013,0.1,0.1,1122,5515,100,100
398,48281,1.1,283.4,2.444,69,0,0.456,0.186,0.062,0.041,0,0,1376,3722,100,100
399,165971,1.1,143,1.705,54,0,0.217,0.066,0.054,0,0.042,0.042,3398,548,100,100
400,68500,1.1,147.7,1.577,96,0,0.555,0.161,0.088,0.029,0.058,0.058,420,5804,100,100
401,59104,5.2,196.1,1.218,98,0,0.939,0.135,0.068,0.017,0.085,0.085,1039,4737,100,100
402,25640,5.2,257.3,1.833,88,0,1.132,0.351,0.195,0.039,0.195,0.16,1389,4313,100,100
403,71380,5.2,229,1.611,88,0,0.858,0.14,0.056,0.028,0.084,0.084,289,5106,100,100
404,52000,5.2,235.7,1.538,88,0,1.067,0.212,0.077,0.019,0.096,0.096,484,1417,100,100
405,70000,5.2,293.6,1.614,99,0,0.756,0.157,0.057,0,0.086,0.086,1141,4648,100,100
406,70000,5.2,240,1.6,70,0,0.719,0.171,0.086,0,0.086,0.086,1746,2806,100,100
407,86500,5.2,204,1.838,58,0,0.947,0.185,0.069,0.023,0.069,0.069,484,1417,100,100
408,70000,5.2,224.3,1.643,91,0,0.995,0.171,0.1,0,0.086,0.086,1522,3214,100,100
409,89000,5.2,246.6,1.787,83,0,1.058,0.202,0.056,0.022,0.067,0.067,332,5901,100,100
410,64500,5.2,238.5,1.364,88,0,0.83,0.171,0.078,0,0.093,0.093,1039,4737,100,100
411,156593,5.2,172.6,1.009,93,0,0.49,0.096,0.032,0.006,0.032,0.032,932,4915,100,100
412,89000,5.2,264.8,1.798,78,0,1.131,0.191,0.056,0.022,0.067,0.067,453,5713,100,100
413,73736,5.2,185.8,1.532,63,0,0.569,0.163,0.068,0,0.081,0.081,1746,2806,100,100
414,46000,5.2,222.9,1.261,90,0,1.178,0.217,0.087,0.022,0.109,0.109,289,5106,100,100
415,44351,5.2,216.6,1.195,88,0,1.033,0.203,0.113,0.023,0.113,0.113,1389,4313,100,100
416,49200,5.2,282.1,1.382,76,0,1.023,0.183,0.081,0.02,0.102,0.102,562,6446,100,100
417,54280,5.2,230.2,1.271,94,0,0.808,0.184,0.111,0.018,0.092,0.092,1746,2806,100,100
418,70812,5.2,241.2,1.539,97,0,0.993,0.127,0.056,0,0.085,0.085,932,4915,100,100
419,36135,5.2,317.3,1.66,89,0,1.285,0.277,0.166,0.028,0.138,0.138,1039,4737,100,100
420,90000,5.2,314.8,1.456,92,0,1.111,0.156,0.067,0,0.067,0.067,1039,4737,100,100
421,70000,5.2,199.5,1.643,87,0,0.866,0.143,0.071,0,0.086,0.086,1364,3632,100,100
422,81655,5.2,255.5,1.849,86,0,1.232,0.22,0.073,0.024,0.073,0.073,1522,3214,100,100
423,65824,5.2,284.2,1.58,81,0,0.931,0.182,0.076,0,0.091,0.091,514,6806,100,100
424,89000,5.2,220.1,1.787,91,0,1.029,0.202,0.067,0.022,0.067,0.067,453,5713,100,100
425,41832,5.2,164.1,1.195,83,0,0.91,0.239,0.143,0.024,0.12,0.12,289,5106,100,100
426,70000,5.2,244.3,1.6,89,0,0.885,0.2,0.071,0,0.086,0.086,932,4915,100,100
427,74000,5.2,235.2,1.608,97,0,1.063,0.149,0.095,0,0.081,0.081,932,4915,100,100
428,87008,5.2,215.7,1.827,86,0,1.164,0.195,0.08,0.023,0.069,0.069,484,1417,100,100
429,65000,5.2,263.1,1.631,81,0,0.873,0.154,0.077,0,0.092,0.092,562,6446,100,100
430,65038,5.2,228.3,1.599,79,0,0.734,0.169,0.092,0,0.092,0.092,1869,3440,100,100
431,83000,5.2,340.1,1.807,80,0,1.259,0.193,0.072,0.024,0.072,0.072,970,6285,100,100
432,55000,5.2,236.4,1.345,93,0,1.067,0.182,0.145,0.018,0.091,0.091,1440,4590,100,100
433,64742,5.2,308.8,1.606,72,0,0.767,0.185,0.077,0,0.093,0.093,653,6572,100,100
434,69123,5.2,204.8,1.143,79,0,0.765,0.13,0.101,0.014,0.072,0.072,1039,4737,100,100
435,83000,5.2,249.2,1.831,75,0,1.539,0.217,0.084,0.024,0.072,0.072,1108,5169,100,100
436,70000,5.2,231.5,1.614,87,0,0.977,0.129,0.071,0,0.086,0.086,1710,3148,100,100
437,49000,5.2,301.1,1.469,87,0,1.224,0.265,0.143,0.02,0.102,0.102,1710,3148,100,100
438,93000,5.2,241.1,1.71,80,0,1.033,0.161,0.054,0.022,0.065,0.065,696,1118,100,100
439,89000,5.2,242,1.775,88,0,1.181,0.18,0.056,0.022,0.067,0.067,1122,5515,100,100
440,65824,5.2,211.6,1.61,88,0,0.911,0.167,0.076,0,0.091,0.091,514,6806,100,100
441,69000,5.2,231.4,1.652,92,0,0.963,0.188,0.072,0,0.087,0.087,584,5594,100,100
442,79158,5.2,286.2,1.895,90,0,1.296,0.253,0.088,0,0.076,0.076,3398,548,100,100
443,59000,5.2,221.2,1.508,96,0,0.951,0.136,0.085,0,0.102,0.102,1039,4737,100,100
444,82000,5.2,254.4,1.732,89,0,1.384,0.195,0.049,0.024,0.073,0.073,1039,4737,100,100
445,65038,5.2,243.3,1.568,88,0,0.724,0.169,0.092,0,0.092,0.092,1937,3450,100,100
446,68583,5.2,225.7,1.662,59,0,0.696,0.146,0.087,0,0.087,0.087,1746,2806,100,100
447,64136,5.2,276.5,1.606,91,0,0.945,0.156,0.078,0,0.094,0.094,750,5705,100,100
448,70812,5.2,225.4,1.582,94,0,0.993,0.155,0.071,0,0.085,0.085,932,4915,100,100
449,65038,5.2,237.9,1.599,80,0,1.002,0.169,0.077,0,0.092,0.092,647,6080,100,100
450,75000,5.2,314.8,1.587,90,0,0.92,0.147,0.067,0,0.08,0.08,514,6806,100,100
451,70000,5.2,201.7,1.614,91,0,0.986,0.186,0.071,0,0.086,0.086,1364,3632,100,100
452,86000,5.2,234,1.837,92,0,1.298,0.221,0.058,0.023,0.07,0.07,484,1417,100,100
453,29000,1.5,73.2,1.586,25,0,1,0.207,0.069,0.034,0.069,0.069,989,2671,100,100
454,26768,1.5,64.9,2.017,63,0,0.448,0.224,0.037,0,0.149,0.149,989,2671,100,100
455,56069,1.5,11.5,0.357,68,0,0.178,0.071,0.036,0,0.036,0.036,989,2671,100,100
456,50000,5.2,121.2,0.56,76,0,0.555,0.14,0.1,0.02,0.1,0.1,514,6806,100,100
457,152226,1.1,162,1.182,76,0,0.322,0.118,0.046,0.02,0.02,0.02,584,5594,100,100
458,56845,182.9,262,1.108,98,0.053,1.407,0.422,0.07,0.053,0,0,1092,3984,98,98
459,88743,182.9,160.6,0.642,97,0.192,0.732,0.361,0.079,0,0,0,112,9752,75,100
460,55080,182.9,324.2,1.779,83,0.073,0.508,0.272,0.109,0,0,0,3023,1563,100,100
461,75000,182.9,289.2,1.387,98,0.2,1.333,0.533,0.093,0.04,0.013,0.013,301,6847,50,100
462,87776,182.9,345.3,1.116,95,0.182,1.139,0.456,0.103,0.034,0,0,307,6690,90,100
463,77000,182.9,341,1.247,93,0.26,1.299,0.519,0.13,0.039,0.013,0.013,307,6690,90,100
464,74400,182.9,315.1,1.478,99,0.202,1.344,0.538,0.108,0.027,0.04,0.04,431,6144,50,100
465,58000,182.9,264,1.017,94,0.103,0.776,0.431,0.155,0.052,0,0,431,6144,40,100
466,126700,182.9,281.7,1.231,98,0.11,0.947,0.395,0.126,0.032,0.016,0.016,307,6690,80,100
467,52949,182.9,263.2,1.095,98,0.113,0.85,0.472,0.302,0.038,0,0,431,6144,50,100
468,56354,182.9,291.1,1.366,98,0.106,0.923,0.319,0.053,0.053,0,0,420,5804,100,100
469,55120,182.9,365.7,1.56,80,0.127,1.27,0.363,0.181,0.054,0.036,0.036,1105,4675,90,100
470,45436,182.9,258.2,1.166,94,0.022,1.541,0.352,0.088,0.044,0.022,0.022,386,6629,100,100
471,48758,182.9,243.9,1.415,96,0,0.923,0.41,0.062,0.041,0,0,445,5763,95,95
472,50756,182.9,149.8,1.261,94,0.02,0.69,0.236,0.099,0.039,0,0,3058,1190,100,100
