PUBID8,ADJWT,STRATUM,PAIR,Area,Site,Source,NWKER,WiFrig,OpFrig,ClFrig,Rooms,FoodRm,HDD,CDD,HEATP,COOLP
3260,456.4,8,1,11500,67.04930435,168.809899,5,0,0,0,35,0,6360,552,100,100
3309,317.92,17,2,24500,97.89265306,226.6374701,10,0,0,0,60,0,7103,744,100,90
3314,135.43,4,2,500000,75.861882,122.6444236,30,15,1,1,400,1,6970,410,90,75
3321,132.45,53,2,120000,166.810225,320.7834844,50,10,3,3,200,1,5141,858,100,100
3329,456.4,62,1,5800,97.19724138,194.9811012,2,0,0,0,20,0,977,1284,100,100
3334,117.69,22,2,320000,133.8412188,314.4667662,100,7,2,36,450,1,4315,1487,100,100
3352,403.31,34,1,33000,41.44087879,96.21007861,6,0,0,2,80,0,826,4415,33,33
3432,119.39,64,1,230000,122.010513,230.757763,80,1,0,5,350,1,6922,805,100,85
3534,116.76,20,1,190000,94.21169474,224.8296345,75,2,0,0,200,1,5421,1296,100,100
3539,364.2,49,1,77000,38.6985974,120.1776809,4,0,0,0,40,0,1282,3856,100,100
